Date,AAPL,CSCO,CVX,DIS,GE,INTC,JNJ,JPM,KO,MCD,MRK,MSFT,PEP,PG,SPY,T,WMT,XOM
1996-10-29,199628800,70162200,1891400,2376584,3019382,77648000,5645600,5845800,5272800,3803200,5571587,66756800,3541700,4916400,815900,2061998,13665000,6212800
1996-10-30,257051200,82447200,1802400,1715155,1798709,69940000,4281800,5913300,5119800,3206000,3295541,60526400,3676600,2578800,495400,2321502,23055000,4750000
1996-10-31,194219200,78299100,3023400,2910593,2556403,66129600,3943000,4450200,4855200,3548200,4170411,37028800,3396200,6664400,726300,1983352,13663800,6814800
1996-11-01,211332800,72919800,2419800,3025849,1814233,61486400,3277000,4247700,5650600,4784800,5443102,56531200,3762800,5876000,821300,3168067,15412200,5033200
1996-11-04,91268800,50563800,2278200,3402940,2146131,46838400,5170000,3472200,6481800,3844800,6085526,36006400,4090000,3761600,1608400,3212818,10749000,4188000
1996-11-05,378112000,75245400,2532400,3700051,3471219,82406400,5884000,8735100,5884200,3109200,6201645,86417600,3777400,5024400,764000,3080154,13402800,5593200
1996-11-06,180308800,130768200,2697600,3245413,3476352,111770400,6728200,8679000,5866000,4150800,8701754,71438400,3033300,5300400,1665000,3423070,12242400,9011200
1996-11-07,155075200,98931600,2104600,4712114,3665275,129250400,4705600,6759300,4716600,3915600,6110888,76742400,2804100,4950000,1446300,3595984,15784200,6934800
1996-11-08,188708800,65126700,1834200,3786721,2533742,69125600,4280000,3840000,3525000,2626000,6842392,67369600,6722000,2952800,1355700,2573856,10899000,6268000
1996-11-11,92534400,49072500,2209400,5117790,1775172,49158400,2776400,2964300,3758600,2246600,4248592,38593600,3824900,2346800,655900,1841154,10075800,4223200
1996-11-12,142956800,64980000,2668600,5960770,2404914,98851200,4474800,5031600,5168400,3600200,5363664,81156800,4926100,3566800,719900,3144235,73777800,4078800
1996-11-13,83608000,51010200,2124000,3750836,2394648,72973600,3440000,7201800,3231800,3031600,4147146,90409600,3170600,3088000,481900,2227233,69508200,5778800
1996-11-14,48529600,55894500,1708600,3610644,3149713,77549600,4951800,6350700,4485800,3911200,4691477,114969600,5247500,3997600,558800,1976732,38917800,4812400
1996-11-15,130715200,70366500,2784200,9793715,4690515,121340000,4927200,5895600,7842600,5076600,6167270,104041600,3907800,6409600,2250900,3393942,40947600,8112800
1996-11-18,152835200,53246700,1848000,3278865,2600848,98204800,3099000,4388100,4119400,2597600,4073995,98585600,3772100,3385600,1518200,2132964,16909800,4400000
1996-11-19,124432000,55745100,2275200,4024835,2761726,89967200,3201000,11018700,4526400,3957000,4293866,104739200,4331300,3433200,1029300,3224205,30199200,4085200
1996-11-20,103096000,51251400,1749600,4890623,3027395,99407200,4682800,6957600,3913400,4348600,4511640,123857600,4091100,5645600,730000,3736063,30985800,4412000
1996-11-21,70604800,47608200,1823400,3043791,2995344,95869600,4152800,4597200,11493800,3118000,5106694,130718400,7090700,2733200,653000,4427721,21022800,3872400
1996-11-22,103980800,62998200,2140200,4229802,2603602,76026400,3259400,5508600,7274000,3687000,2866280,94424000,7518300,2270800,965100,3990271,17560200,4394800
1996-11-25,78948800,42967800,2725600,4720020,3814134,62263200,4679000,6114300,6048200,3848800,4169154,75129600,6460400,3377600,2058800,2708374,19287000,6586000
