Date,AAPL,CSCO,CVX,DIS,GE,INTC,JNJ,JPM,KO,MCD,MRK,MSFT,PEP,PG,SPY,T,WMT,XOM
1996-09-03,0.18170174956321716,3.985199213027954,10.79885196685791,14.221269607543945,34.702247619628906,5.766270637512207,12.321187973022461,11.2222318649292,12.214970588684082,12.370176315307617,11.950118064880371,4.745018482208252,13.416285514831543,11.008275985717773,40.03680419921875,2.9314701557159424,2.7973811626434326,8.805904388427734
1996-09-04,0.18170174956321716,4.031541347503662,10.753767013549805,14.15889835357666,34.75380325317383,5.810425281524658,12.321187973022461,11.147541999816895,12.184884071350098,12.270153999328613,12.116292953491211,4.745018482208252,13.529220581054688,10.946426391601562,40.074859619140625,3.0104851722717285,2.8105766773223877,8.819048881530762
1996-09-05,0.17228689789772034,3.8461809158325195,10.776307106018066,13.878214836120605,34.341312408447266,5.6956281661987305,12.164426803588867,11.035501480102539,12.034454345703125,12.236804008483887,12.093210220336914,4.67290735244751,13.293928146362305,10.869120597839355,39.58961868286133,2.9472720623016357,2.7314045429229736,8.740191459655762
1996-09-06,0.17322827875614166,3.9573965072631836,10.866485595703125,14.221269607543945,34.960079193115234,5.739782810211182,12.47794246673584,11.240904808044434,12.350364685058594,12.336835861206055,11.977815628051758,4.711366176605225,13.411576271057129,10.946426391601562,40.1509895324707,2.923569440841675,2.7314045429229736,8.832189559936523
1996-09-09,0.16569717228412628,4.031541347503662,10.934121131896973,14.533146858215332,35.32102584838867,5.898727893829346,12.509300231933594,11.240904808044434,12.45566177368164,12.570236206054688,12.277841567993164,4.802709579467773,13.529220581054688,11.070117950439453,40.62670135498047,2.9551730155944824,2.7973811626434326,8.858473777770996
1996-09-10,0.16193068027496338,4.031541347503662,10.889036178588867,14.439581871032715,35.4756965637207,5.956127166748047,12.383888244628906,11.427623748779297,12.606094360351562,12.570236206054688,12.370156288146973,4.783479690551758,13.882161140441895,11.224729537963867,40.60767364501953,2.9472720623016357,2.8105766773223877,8.76647663116455
1996-09-11,0.1591065376996994,4.031541347503662,11.091934204101562,14.62670612335205,35.4756965637207,6.0046916007995605,12.352543830871582,11.63303279876709,12.515618324279785,12.670258522033691,12.370156288146973,4.812323093414307,14.058625221252441,11.224729537963867,40.836002349853516,2.9551730155944824,2.8105766773223877,8.92419147491455
1996-09-12,0.15345807373523712,4.165923118591309,11.069387435913086,15.094508171081543,35.88821792602539,6.031181812286377,12.352543830871582,11.707721710205078,12.515618324279785,12.603575706481934,12.416306495666504,4.946935176849365,14.058625221252441,11.240192413330078,41.1214485168457,2.9946813583374023,2.8897476196289062,8.937336921691895
1996-09-13,0.1581650972366333,4.374451637268066,11.204658508300781,15.156882286071777,36.45541763305664,6.225453853607178,12.540650367736816,11.857096672058105,12.787036895751953,12.703604698181152,12.531706809997559,5.0382771492004395,14.058625221252441,11.425722122192383,41.74940490722656,3.057893991470337,2.8765525817871094,8.884764671325684
1996-09-16,0.16852134466171265,4.430058479309082,11.249743461608887,15.032137870788574,36.45541763305664,6.260776042938232,12.571998596191406,11.931793212890625,12.81719970703125,13.003695487976074,12.577860832214355,5.05750846862793,13.470398902893066,11.503026962280273,41.90164566040039,3.073697328567505,2.8897476196289062,8.95047664642334
1996-09-17,0.17322827875614166,4.42078971862793,11.385011672973633,15.250442504882812,35.88821792602539,6.658143520355225,12.540650367736816,11.67037296295166,12.575926780700684,12.73695182800293,12.624018669128418,5.148852348327637,13.646873474121094,11.456640243530273,41.80650329589844,3.049992799758911,2.8633577823638916,8.95047664642334
1996-09-18,0.17699392139911652,4.439327239990234,11.294832229614258,15.281630516052246,35.99134063720703,6.755276679992676,12.446596145629883,11.63303279876709,12.515618324279785,12.703604698181152,12.624018669128418,5.249807834625244,13.882161140441895,11.425722122192383,41.70183563232422,3.049992799758911,2.8105766773223877,9.016194343566895
1996-09-19,0.17605248093605042,4.448593616485596,11.159566879272461,15.84299373626709,36.24916458129883,6.852414131164551,12.540650367736816,11.558341026306152,12.545774459838867,12.670258522033691,12.64709758758545,5.2978835105896,14.176270484924316,11.271112442016602,41.863582611083984,3.057893991470337,2.8369662761688232,9.029340744018555
1996-09-20,0.17228689789772034,4.504202365875244,11.227204322814941,15.749438285827637,36.764801025390625,6.878906726837158,12.666049003601074,11.651702880859375,12.334665298461914,12.670258522033691,12.67017650604248,5.312307834625244,14.176270484924316,11.533949851989746,42.0120849609375,3.0974016189575195,2.9161376953125,9.134481430053711
1996-09-23,0.16852134466171265,4.499569892883301,11.27229118347168,15.874184608459473,36.50697708129883,6.764107704162598,12.728761672973633,11.838430404663086,12.334665298461914,12.73695182800293,12.8086519241333,5.2978835105896,13.999805450439453,11.595792770385742,42.002532958984375,3.0895004272460938,2.8633577823638916,9.108194351196289
1996-09-24,0.16946275532245636,4.485666275024414,11.249743461608887,15.655874252319336,37.07417678833008,6.817091941833496,12.63470458984375,11.838430404663086,12.425137519836426,12.836974143981934,12.762492179870605,5.264230251312256,14.117449760437012,11.765865325927734,41.99294662475586,3.065795421600342,2.8105766773223877,9.068761825561523
1996-09-25,0.16852134466171265,4.684925556182861,11.204658508300781,15.624688148498535,37.74449157714844,6.870075702667236,12.603352546691895,11.931793212890625,12.36483097076416,12.636918067932129,12.716331481933594,5.216156482696533,14.176270484924316,11.85862922668457,42.02163314819336,3.042090654373169,2.744598865509033,8.95047664642334
