Date,AAPL,GOOG,IBM,MSFT,NVDA
2009-10-02 00:00:00+00:00,5.576551914215088,12.039692878723145,67.4106216430664,18.745864868164062,0.3175625801086426
2009-10-05 00:00:00+00:00,5.610332012176514,12.137585639953613,67.82410430908203,18.50553321838379,0.3159576952457428
2009-10-06 00:00:00+00:00,5.730668544769287,12.391509056091309,68.73029327392578,18.858522415161133,0.32123124599456787
2009-10-07 00:00:00+00:00,5.737906455993652,12.858606338500977,69.54021453857422,18.851009368896484,0.31870901584625244
2009-10-08 00:00:00+00:00,5.7083516120910645,12.775123596191406,69.26268768310547,19.279102325439453,0.32077261805534363
2009-10-09 00:00:00+00:00,5.744541168212891,12.826555252075195,71.3243179321289,19.188974380493164,0.3248998522758484
2009-10-12 00:00:00+00:00,5.75479793548584,13.020103454589844,71.9530029296875,19.316650390625,0.32123124599456787
2009-10-13 00:00:00+00:00,5.7309722900390625,13.071532249450684,71.9416732788086,19.384244918823242,0.32008475065231323
2009-10-14 00:00:00+00:00,5.7692742347717285,13.300361633300781,72.69495391845703,19.49690055847168,0.3196262717247009
2009-10-15 00:00:00+00:00,5.747257232666016,13.165946960449219,72.48541259765625,20.060182571411133,0.31022536754608154
2009-10-16 00:00:00+00:00,5.671553611755371,13.661367416381836,68.89454650878906,19.9024600982666,0.3031175434589386
2009-10-19 00:00:00+00:00,5.726144790649414,13.717021942138672,69.69879913330078,19.797321319580078,0.314123272895813
2009-10-20 00:00:00+00:00,5.994566440582275,13.707830429077148,69.56285858154297,19.804826736450195,0.3143526017665863
2009-10-21 00:00:00+00:00,6.180351734161377,13.692424774169922,68.45842742919922,19.962541580200195,0.3067861497402191
2009-10-22 00:00:00+00:00,6.188796520233154,13.766714096069336,69.48925018310547,19.970060348510742,0.3088497519493103
2009-10-23 00:00:00+00:00,6.15079402923584,13.75677490234375,68.16957092285156,21.044034957885742,0.30151256918907166
2009-10-26 00:00:00+00:00,6.106761455535889,13.769694328308105,68.02799987792969,21.539722442626953,0.2976146340370178
2009-10-27 00:00:00+00:00,5.952646255493164,13.622610092163086,68.3338394165039,21.47212791442871,0.28752607107162476
2009-10-28 00:00:00+00:00,5.80275297164917,13.424093246459961,68.81525421142578,21.044034957885742,0.2756030261516571
2009-10-29 00:00:00+00:00,5.9218831062316895,13.691183090209961,69.5911865234375,21.194252014160156,0.2877553701400757
2009-10-30 00:00:00+00:00,5.685125827789307,13.32023811340332,68.3111801147461,20.826234817504883,0.2742273509502411
2009-11-02 00:00:00+00:00,5.709557056427002,13.267316818237305,68.28285217285156,20.93889617919922,0.27674955129623413
