Date,AAPL,JPM,MSFT
1991-04-08,72475200,611700,46526400
1991-04-09,119448000,651900,60768000
1991-04-10,216406400,725700,74340000
1991-04-11,355588800,1186200,47937600
1991-04-12,367718400,860100,176731200
1991-04-15,1700384000,1514700,88819200
1991-04-16,620782400,2891400,81331200
1991-04-17,322403200,4269300,128383200
1991-04-18,247363200,2229000,88084800
1991-04-19,287302400,858900,96588000
1991-04-22,257017600,989100,139708800
1991-04-23,237294400,978000,103910400
1991-04-24,105448000,986700,82130400
1991-04-25,315380800,660600,65707200
1991-04-26,125059200,342600,88372800
1991-04-29,206707200,460200,71258400
1991-04-30,711446400,1165200,115178400
1991-05-01,1868372800,1023000,111628800
1991-05-02,811126400,831000,66888000
1991-05-03,243712000,1960200,23047200
1991-05-06,212329600,434700,44755200
1991-05-07,270480000,945900,50904000
1991-05-08,176780800,403800,57592800
1991-05-09,238212800,1286700,76298400
1991-05-10,241729600,705600,52070400
1991-05-13,244944000,668700,68745600
1991-05-14,216944000,1050600,58816800
1991-05-15,518347200,1661400,111160800
1991-05-16,382132800,642300,70243200
1991-05-17,471060800,644700,44812800
1991-05-20,262169600,414600,65937600
1991-05-21,349798400,1016700,83570400
1991-05-22,227270400,952500,88783200
1991-05-23,208656000,1379100,67752000
1991-05-24,97126400,818700,67932000
1991-05-28,171438400,1052400,43941600
1991-05-29,384003200,873300,64202400
1991-05-30,158345600,1002000,61833600
1991-05-31,217862400,1446300,81784800
1991-06-03,220068800,545100,46951200
1991-06-04,184284800,1028100,35035200
1991-06-05,133291200,4125300,41385600
1991-06-06,168504000,2466900,32680800
1991-06-07,152745600,3624000,51984000
1991-06-10,167440000,1150500,29498400
1991-06-11,188563200,1212300,41846400
1991-06-12,435635200,1362000,51069600
1991-06-13,211366400,945300,38001600
1991-06-14,225288000,565800,46360800
1991-06-17,166600000,836700,29419200
1991-06-18,244686400,932400,46850400
1991-06-19,178942400,1019100,157039200
1991-06-20,144043200,1324800,187999200
1991-06-21,206012800,976500,67680000
1991-06-24,207984000,1078500,79696800
1991-06-25,227920000,1618500,97228800
1991-06-26,250443200,1595400,96638400
1991-06-27,151200000,1068000,56510400
1991-06-28,226643200,1076400,61526400
1991-07-01,194824000,1032300,72388800
1991-07-02,120142400,798000,43920000
1991-07-03,310374400,911100,191630400
1991-07-05,331553600,552600,78758400
1991-07-08,307081600,902400,109185600
1991-07-09,226441600,2109900,76948800
1991-07-10,156576000,1915200,67310400
1991-07-11,145913600,707400,51148800
1991-07-12,132753600,795900,35174400
1991-07-15,137984000,15495300,36763200
1991-07-16,222992000,7037400,42734400
1991-07-17,208936000,3865200,40526400
1991-07-18,398316800,2863500,25656000
1991-07-19,128419200,2661000,24441600
1991-07-22,108673600,2371200,35136000
1991-07-23,133056000,1906800,35596800
1991-07-24,131454400,1096800,54321600
1991-07-25,65800000,1091100,90211200
1991-07-26,74233600,1096500,149294400
1991-07-29,53300800,1304700,136468800
1991-07-30,91862400,1311600,78038400
1991-07-31,102804800,772500,111628800
1991-08-01,448425600,1783200,53942400
1991-08-02,273011200,1293300,81369600
1991-08-05,100766400,1469400,28252800
1991-08-06,220427200,1779000,53097600
1991-08-07,211612800,2114100,69235200
1991-08-08,189448000,6461400,91852800
1991-08-09,154403200,2732100,114806400
1991-08-12,142531200,1336200,56899200
1991-08-13,286585600,4227000,94497600
1991-08-14,200715200,5921400,67008000
1991-08-15,145544000,2035800,45460800
1991-08-16,158804800,1335300,52075200
1991-08-19,322481600,2006700,85425600
1991-08-20,199427200,1074600,57326400
1991-08-21,223372800,1987500,73214400
1991-08-22,165648000,1154400,43627200
1991-08-23,240419200,1022700,43161600
1991-08-26,101595200,359700,44136000
1991-08-27,100352000,821400,34204800
1991-08-28,107587200,834300,41558400
1991-08-29,113355200,1034100,27974400
1991-08-30,66136000,1015200,22032000
1991-09-03,68376000,1134600,33494400
1991-09-04,119784000,575100,38467200
1991-09-05,77884800,788700,58459200
1991-09-06,79273600,927000,50788800
1991-09-09,126481600,405300,31915200
1991-09-10,182840000,922200,65937600
1991-09-11,178001600,1112700,64032000
1991-09-12,119212800,1310400,53808000
1991-09-13,166734400,1022400,51360000
1991-09-16,205777600,1398300,21686400
1991-09-17,135408000,1567200,23366400
1991-09-18,121352000,798000,26942400
1991-09-19,178337600,1563000,51364800
1991-09-20,188148800,939900,30316800
1991-09-23,87662400,786900,49771200
1991-09-24,106097600,1093800,47625600
1991-09-25,54465600,406800,25766400
1991-09-26,71220800,1128000,48000000
1991-09-27,62809600,1687200,33273600
1991-09-30,63201600,1131300,27700800
1991-10-01,131376000,2680200,19627200
1991-10-02,17987200,2407800,67219200
1991-10-03,181003200,2774100,34632000
1991-10-04,79374400,1154100,26457600
1991-10-07,64702400,1124400,27187200
1991-10-08,172256000,2132400,37708800
1991-10-09,132742400,1317900,60931200
1991-10-10,157214400,1476900,42048000
1991-10-11,120052800,1224300,69921600
1991-10-14,111876800,1092300,50625600
1991-10-15,288209600,3387600,57854400
1991-10-16,200872000,1365900,100200000
1991-10-17,151614400,960600,95563200
1991-10-18,446958400,1069800,37843200
1991-10-21,116692800,787800,28704000
1991-10-22,208208000,573600,32496000
1991-10-23,168828800,1022400,36724800
1991-10-24,177900800,2315100,26942400
1991-10-25,106971200,1573500,28080000
1991-10-28,77862400,890700,37953600
1991-10-29,101236800,1060200,36523200
1991-10-30,148243200,543600,65592000
1991-10-31,231806400,504600,41092800
1991-11-01,201264000,1047300,34296000
1991-11-04,195294400,542100,28838400
1991-11-05,215600000,1145100,51739200
1991-11-06,236790400,1037700,38308800
1991-11-07,296732800,2345700,20894400
1991-11-08,375827200,1475700,36494400
1991-11-11,164942400,1139400,40564800
1991-11-12,166689600,1896000,80035200
1991-11-13,185920000,1047300,57523200
1991-11-14,188003200,581400,44371200
1991-11-15,256950400,1303500,71592000
1991-11-18,238739200,688500,72432000
