Date,AAPL,MSFT
2019-10-18 00:00:00+00:00,0.0048025509228839525,-0.016321574285475093
2019-10-21 00:00:00+00:00,0.017342980217528448,0.0074229655728697
2019-10-22 00:00:00+00:00,-0.002286903145652275,-0.014881373465683967
2019-10-23 00:00:00+00:00,0.013418971587849882,0.006379922193556542
2019-10-24 00:00:00+00:00,0.0016449234848281424,0.019673435635353842
2019-10-25 00:00:00+00:00,0.012316115885325551,0.005645345968655402
2019-10-28 00:00:00+00:00,0.010017268660983847,0.02458601962440765
2019-10-29 00:00:00+00:00,-0.023127985023335684,-0.009431721313237218
2019-10-30 00:00:00+00:00,-0.0001234738982660577,0.012462014952091538
2019-10-31 00:00:00+00:00,0.022609663385442236,-0.008574577324972243
2019-11-01 00:00:00+00:00,0.02838073376234318,0.002441252929135773
2019-11-04 00:00:00+00:00,0.00656711350464656,0.005774866143664736
2019-11-05 00:00:00+00:00,-0.0014367866244485716,-0.0006224337868376839
2019-11-06 00:00:00+00:00,0.00042775578830234195,-0.0027692995028044676
2019-11-07 00:00:00+00:00,0.01154121913015671,0.001388605802957299
2019-11-08 00:00:00+00:00,0.0027368785936605633,0.011784345861664214
2019-11-11 00:00:00+00:00,0.007918681248814785,0.0010274045694165235
2019-11-12 00:00:00+00:00,-0.000915426730244695,0.006570521196037404
2019-11-13 00:00:00+00:00,0.009581867365541896,0.0016318535022881164
2019-11-14 00:00:00+00:00,-0.006919509951815117,0.005091789835919069
2019-11-15 00:00:00+00:00,0.011879052455733508,0.012899987494700893
2019-11-18 00:00:00+00:00,0.005042622703326227,0.0024671831407057088
2019-11-19 00:00:00+00:00,-0.003032878293677266,0.0003324906835664443
2019-11-20 00:00:00+00:00,-0.01164113060539329,-0.0017345592202354654
2019-11-21 00:00:00+00:00,-0.00448369257611636,-0.0009359846513840031
2019-11-22 00:00:00+00:00,-0.0008776275422156532,0.0007360902795396917
2019-11-25 00:00:00+00:00,0.017533496072671184,0.010963200739060985
2019-11-26 00:00:00+00:00,-0.007808434828348587,0.005289664535570671
2019-11-27 00:00:00+00:00,0.013432273624768731,0.0019078523445021922
2019-11-29 00:00:00+00:00,-0.0022030721621769667,-0.006171100664511764
2019-12-02 00:00:00+00:00,-0.011561957935787737,-0.012089121578521933
2019-12-03 00:00:00+00:00,-0.017830228768478285,-0.0016046731727985541
2019-12-04 00:00:00+00:00,0.008826330760681067,0.003616504251333197
2019-12-05 00:00:00+00:00,0.01467094572503913,0.0005342097716827254
2019-12-06 00:00:00+00:00,0.019316314927799727,0.012138712916906824
2019-12-09 00:00:00+00:00,-0.014000546845544526,-0.0025698294012655998
2019-12-10 00:00:00+00:00,0.005844731236604561,-0.001519636625188614
2019-12-11 00:00:00+00:00,0.008529409939055821,0.0037715312336745743
2019-12-12 00:00:00+00:00,0.002548632405035889,0.01015162099327549
2019-12-13 00:00:00+00:00,0.013592939469250886,0.008418113781056169
2019-12-16 00:00:00+00:00,0.017117830891953068,0.006471060169794152
2019-12-17 00:00:00+00:00,0.0019653106712145263,-0.005400565945161473
2019-12-18 00:00:00+00:00,-0.002389136593889174,-0.0020687453337442374
2019-12-19 00:00:00+00:00,0.001000836278291839,0.008680545886554203
2019-12-20 00:00:00+00:00,-0.002071537204574647,0.010917679778325473
2019-12-23 00:00:00+00:00,0.01631841328968009,0.0
2019-12-24 00:00:00+00:00,0.0009510588861560976,-0.00019085907419091885
2019-12-26 00:00:00+00:00,0.01984010402817149,0.008196873056712572
2019-12-27 00:00:00+00:00,-0.00037960975033068944,0.0018279121594739767
2019-12-30 00:00:00+00:00,0.005935228088335132,-0.008618790108242624
2019-12-31 00:00:00+00:00,0.0073063920440910035,0.0006981081370514008
2020-01-02 00:00:00+00:00,0.02281641077741625,0.01851603569477911
2020-01-03 00:00:00+00:00,-0.009721716366292044,-0.012451512827535316
2020-01-06 00:00:00+00:00,0.00796794216819574,0.0025845950506659943
2020-01-07 00:00:00+00:00,-0.004702908639916514,-0.009117870666095595
2020-01-08 00:00:00+00:00,0.016086308449648312,0.015928687813783426
2020-01-09 00:00:00+00:00,0.021240696889001764,0.012492633169325362
2020-01-10 00:00:00+00:00,0.0022609589841688926,-0.0046270330627526945
2020-01-13 00:00:00+00:00,0.021363985882443037,0.012024415527770449
2020-01-14 00:00:00+00:00,-0.013503318316198665,-0.007042906550169259
2020-01-15 00:00:00+00:00,-0.004285536435205239,0.006476069045336708
2020-01-16 00:00:00+00:00,0.012526548927286996,0.018323422724275673
2020-01-17 00:00:00+00:00,0.011071000309010204,0.0055965801955488725
2020-01-21 00:00:00+00:00,-0.006776858607288161,-0.00359058644180843
2020-01-22 00:00:00+00:00,0.003569775148862364,-0.004804636532583562
2020-01-23 00:00:00+00:00,0.004815613450819045,0.006155712251343148
2020-01-24 00:00:00+00:00,-0.002882159461497835,-0.0100769364096438
2020-01-27 00:00:00+00:00,-0.02940504164890223,-0.016723240427728325
2020-01-28 00:00:00+00:00,0.028289181145878972,0.019595971963623615
2020-01-29 00:00:00+00:00,0.020932690610828253,0.015592598312532235
2020-01-30 00:00:00+00:00,-0.0014491556545185302,0.02820747960522385
2020-01-31 00:00:00+00:00,-0.04433892581221166,-0.014758587567674897
2020-02-03 00:00:00+00:00,-0.00274622455079232,0.024378854132782513
2020-02-04 00:00:00+00:00,0.03301355908030512,0.032916649737896986
2020-02-05 00:00:00+00:00,0.008154238143752268,-0.0012213961234771586
2020-02-06 00:00:00+00:00,0.011696989296157811,0.020733725003794445
2020-02-07 00:00:00+00:00,-0.01359247162981747,0.0014160188212934965
