Date,AAPL_Price,JPM_Price,MSFT_Price,AAPL_Volume,JPM_Volume,MSFT_Volume,AAPL_Simple_Return,JPM_Simple_Return,MSFT_Simple_Return,AAPL_RSI,JPM_RSI,MSFT_RSI,AAPL_20d_MA,JPM_20d_MA,MSFT_20d_MA,AAPL_50d_MA,JPM_50d_MA,MSFT_50d_MA,AAPL_100d_MA,JPM_100d_MA,MSFT_100d_MA,Interest_Rate,Unemployment_Rate
2009-04-03,3.494393110275269,19.845991134643555,13.887029647827148,636241200,80949500,81858400,0.029101072054959598,0.03977293110717328,-0.0279937627578436,80.49212425228203,61.31552489672421,66.93770379909698,3.074247431755066,17.03743944168091,12.998626661300658,2.901784243583679,16.18704746246338,13.00645196914673,2.8095092296600344,17.992145261764527,13.723408308029175,0.15,9.0
2009-04-06,3.5685062408447266,19.113977432250977,13.894431114196776,658064400,72188000,47476100,0.021209156563275045,-0.036884713765429455,0.0005329769257593764,79.40531296814439,55.8431770196306,63.798247135681564,3.1274813175201417,17.45524444580078,13.132312440872193,2.919914493560791,16.240772094726562,13.031294860839843,2.8163088250160215,17.939905519485475,13.706724634170532,0.15,9.0
2009-04-07,3.464568853378296,18.47005844116211,13.894431114196776,536580800,73652600,65815200,-0.029126301161190304,-0.03368838293187393,0.0,70.09540753185068,50.36822657385788,63.47305400764063,3.1672033190727236,17.719066095352172,13.216745567321777,2.9351947498321533,16.278641242980957,13.049811706542968,2.8224034571647643,17.88162751197815,13.69077151298523,0.15,9.0
2009-04-08,3.50433611869812,18.592060089111328,14.212908744812012,455630000,66538300,56408900,0.0114782724785647,0.00660537422433527,0.022921242906435157,71.14498053750057,55.354023261546466,64.79078254018985,3.2028130412101747,17.958541202545167,13.293772268295289,2.9506135845184325,16.311372604370117,13.074256839752197,2.830296652317047,17.836467847824096,13.684579067230224,0.15,9.0
2009-04-09,3.602247953414917,22.19796371459961,14.568414688110352,530756800,147913000,55759600,0.02794019506130363,0.19394857849024083,0.025012891427175665,73.67035945568122,67.78988294804539,67.80355078148746,3.2377901434898377,18.283587980270386,13.392277383804322,2.9658998584747316,16.381038970947266,13.100221481323242,2.8372649550437927,17.809854097366333,13.675000562667847,0.15,9.0
2009-04-13,3.6218302249908447,22.841867446899418,14.509164810180664,389236400,110196200,44444700,0.005436125394245428,0.029007333311222183,-0.004067009293608481,69.28747764807565,60.94373647677945,60.26066822315156,3.27437903881073,18.622223329544067,13.501151609420777,2.9823008155822754,16.493759574890138,13.13162145614624,2.846296947002411,17.80786089897156,13.673524188995362,0.15,9.0
2009-04-14,3.5642871856689453,20.808469772338867,14.33140468597412,454622000,109541400,63796300,-0.015887834533172995,-0.08902064068481264,-0.012251575230699419,67.72735944470432,59.494468513626,61.8728479827156,3.3088589906692505,18.881517076492308,13.615950632095338,2.999280171394348,16.56472972869873,13.16667510986328,2.8553861498832704,17.796897287368775,13.675677013397216,0.15,9.0
2009-04-15,3.5441038608551025,22.06917381286621,13.946277618408203,412882400,108069400,72725500,-0.005662653922779981,0.060586100483141836,-0.02687294623274672,66.41155307658742,58.96356499170572,57.36439277320429,3.335942876338959,19.134494638442995,13.68742265701294,3.015024390220642,16.66510875701904,13.18328649520874,2.863740289211273,17.802751874923707,13.67081545829773,0.15,9.0
2009-04-16,3.658886432647705,22.53008460998535,14.635074615478516,593446000,132956000,67688700,0.03238690972360736,0.020884823375238115,0.04938930773621952,66.83140846995101,59.217973964727285,57.23173852253281,3.3659641623497008,19.34387288093567,13.791112422943115,3.0321785497665403,16.79026782989502,13.203816814422607,2.874332835674286,17.837747392654418,13.682625379562378,0.15,9.0
2009-04-17,3.71823525428772,22.54363441467285,14.220318794250488,497495600,104962100,61398500,0.016220460168004713,0.0006014094008992554,-0.028339850128906607,74.84257686064944,64.02845455506318,58.50569037187523,3.3988022327423097,19.627000951766966,13.867398643493653,3.0501762437820434,16.915833129882813,13.214139518737793,2.8872662210464477,17.906902141571045,13.695878295898437,0.15,9.0
2009-04-20,3.630265235900879,20.123891830444336,13.783333778381348,466466000,109372200,62937200,-0.023659078129980582,-0.1073359574467545,-0.030729621620425362,73.60660106859416,61.058057791477175,59.068977241137716,3.4272870063781737,19.85003595352173,13.924798154830933,3.0646611404418946,16.986237716674804,13.20969060897827,2.898690249919891,17.956271209716796,13.688945989608765,0.15,9.0
2009-04-21,3.668224334716797,22.04884910583496,14.049967765808104,470685600,115629300,60928300,0.01045628799805809,0.09565531814668482,0.01934466593596973,74.08797924336528,62.926628250563056,55.263140060496134,3.4485262870788573,19.976150703430175,13.948499059677124,3.07794095993042,17.05332778930664,13.201452922821044,2.9073697400093077,17.99240345001221,13.677250509262086,0.15,9.0
2009-04-22,3.6606929302215576,21.621822357177734,13.909246444702148,938767200,124080300,59401000,-0.002053147192760396,-0.019367303327601726,-0.010015775370560864,70.53169266054695,58.5540772325024,44.64642507549563,3.4711363554000854,20.16413507461548,13.979976511001587,3.0893890953063963,17.116613464355467,13.193637409210204,2.9166216468811035,18.009626579284667,13.66929699897766,0.15,9.0
2009-04-23,3.777885675430298,22.50974464416504,14.012933731079102,945156800,89366500,86116300,0.032013814718309996,0.041066024515391764,0.007454558145128409,70.40850248845372,60.74011158911916,46.35101768807966,3.499621093273163,20.323443508148195,14.018490028381347,3.1060009241104125,17.233652572631836,13.197311344146728,2.925780153274536,18.030047168731688,13.658702383041382,0.15,9.0
2009-04-24,3.732696056365967,22.62497901916504,15.486812591552734,540764000,117098100,168478500,-0.011961616350178228,0.005119310628424634,0.10517989228798941,63.493746528736835,59.08689375283928,66.56439330952135,3.520754945278168,20.470245170593262,14.095516777038574,3.1223175430297854,17.33310447692871,13.224431018829346,2.935188715457916,18.044668312072755,13.6648326587677,0.15,9.0
2009-04-27,3.757702589035034,22.21829414367676,15.109091758728027,480690000,67832500,68219600,0.006699321962317262,-0.017975038789816544,-0.024389836875196247,61.34398618502968,60.37132858042268,61.680999995964704,3.5476882576942446,20.65422315597534,14.179580211639404,3.137658085823059,17.423069343566894,13.243260650634765,2.9459740805625914,18.092254314422608,13.679028825759888,0.15,9.0
2009-04-28,3.732696056365967,22.225072860717773,14.76098346710205,455856800,65809900,76685200,-0.006654739718368496,0.0003050961967276944,-0.02303965699492727,67.75735450854938,63.10310654087422,57.81042414490244,3.5769261956214904,20.924806118011475,14.27030873298645,3.152564764022827,17.533467597961426,13.257629089355468,2.9554428958892824,18.123798656463624,13.685771703720093,0.15,9.0
2009-04-29,3.770055532455444,23.37055015563965,14.99798583984375,458110800,84731300,79301600,0.010008711002805093,0.051539866802708056,0.016056001503552242,67.65419629868052,65.5628899644439,57.18154595165933,3.6070830821990967,21.194137477874754,14.339928817749023,3.171008367538452,17.707912502288817,13.289624767303467,2.9642519569396972,18.155300579071046,13.689588317871094,0.15,9.0
2009-04-30,3.7908408641815186,22.367406845092773,15.005393981933594,498489600,94556900,87439900,0.005513269379493035,-0.042923393068040494,0.0004939424646051016,63.96072861174921,50.664512388966806,54.26918031320577,3.632901632785797,21.360537147521974,14.37510905265808,3.189964060783386,17.864189071655275,13.321324081420899,2.9746215558052063,18.171222953796388,13.699069509506225,0.15,9.0
2009-05-01,3.833319187164306,22.0217342376709,14.99057960510254,397516000,68254100,63224500,0.011205514687823603,-0.01545429963409961,-0.0009872701009310259,65.14233176296506,46.70661040046469,54.744498242994275,3.654788684844971,21.50728130340576,14.410289239883422,3.2120167922973635,18.025866165161133,13.35583791732788,2.9846356606483457,18.168515014648438,13.702812061309814,0.18,9.4
2009-05-04,3.9788310527801514,24.258460998535156,14.953548431396484,609358400,100918400,54313400,0.03795975720025746,0.10156905612992362,-0.002470296324863397,76.36022383228647,63.63144590518311,56.306356905202975,3.679010581970215,21.727904796600342,14.46361517906189,3.236642346382141,18.24175012588501,13.388278102874756,2.9943816375732424,18.1671852684021,13.697798442840575,0.18,9.4
2009-05-05,3.998112916946411,23.601001739501953,14.657297134399414,398255200,63488200,66835500,0.004846112818182258,-0.027102265847487317,-0.01981143795776663,78.90289184949168,56.35545384115619,57.33948693151212,3.700490915775299,21.95225601196289,14.501758480072022,3.2642142963409424,18.449762420654295,13.426495265960693,3.004218006134033,18.176192531585695,13.692838287353515,0.18,9.4
2009-05-06,3.991787195205689,25.227725982666016,14.657297134399414,473538800,102644800,59639100,-0.001582176859965645,0.06892606767793885,0.0,74.58837899034384,60.20511815529023,50.26741907881691,3.726851832866669,22.290139389038085,14.539901781082154,3.289671387672424,18.66987606048584,13.465305004119873,3.014548466205597,18.204408149719242,13.687804584503175,0.18,9.4
2009-05-07,3.888149738311768,23.88569450378418,14.309191703796388,531776000,113228400,68727200,-0.025962670810306232,-0.05319668842938707,-0.02374963319710921,61.77939580500766,54.61329119019827,51.08690479745014,3.746042513847351,22.55482110977173,14.544715929031373,3.3125074195861814,18.853541431427,13.5002632522583,3.0248096132278444,18.24313373565674,13.687822771072387,0.18,9.4
2009-05-08,3.892067193984986,26.393537521362305,14.38325309753418,467964000,110026400,67597600,0.0010075372444167119,0.10499351472408769,0.005175791566070176,70.54368857203693,71.42196879565147,58.05169016619178,3.7605334758758544,22.764599800109863,14.535457849502563,3.3366087818145753,19.06950149536133,13.544701595306396,3.034124791622162,18.300253257751468,13.689243574142456,0.18,9.4
2009-05-11,3.903513193130493,24.28558349609375,14.309191703796388,404658800,86808000,63762600,0.002940853426990353,-0.0798662939199577,-0.005149140687129239,69.26480193742569,57.54802877935668,53.668762876356794,3.774617624282837,22.83678560256958,14.52545919418335,3.3608667612075807,19.246008853912354,13.591658267974854,3.0446148824691774,18.351734275817872,13.692277698516845,0.18,9.4
2009-05-12,3.748361825942993,23.96701431274414,14.731364250183104,609481600,94148900,71966800,-0.039746597362739666,-0.013117625252893395,0.029503591476429003,55.78069485929886,57.97238458043112,60.77677520203961,3.7838213562965395,22.994712829589844,14.5454571723938,3.3828471803665163,19.43901378631592,13.652390995025634,3.053348596096039,18.37516363143921,13.691662635803223,0.18,9.4
2009-05-13,3.599837303161621,23.079103469848633,14.62767219543457,595971600,82160700,49281700,-0.03962384894473392,-0.037047202931045686,-0.007038862999212303,38.72572212753043,51.935513655347485,58.0583219488388,3.786608028411865,23.045209312438963,14.579526901245117,3.4015980195999145,19.61629026412964,13.709716815948486,3.06248601436615,18.3929891204834,13.693320837020874,0.18,9.4
2009-05-14,3.7040748596191406,24.08901596069336,14.857274055480955,447826400,68764300,54539500,0.028956185427038816,0.043758740115884986,0.015696404525529672,48.31376173593514,54.69155752274917,37.75231708507219,3.788867449760437,23.123155879974366,14.59063687324524,3.4207465171813967,19.836904544830322,13.768079528808594,3.0725844573974608,18.431943073272706,13.699923191070557,0.18,9.4
2009-05-15,3.6881103515625,23.662010192871097,14.975768089294434,367567200,68301000,61289900,-0.004309985262631044,-0.017726160691620474,0.007975489539399305,45.855769517456984,54.620420968663275,47.11521080421648,3.787361204624176,23.179074668884276,14.628409337997436,3.4409796237945556,20.085514888763427,13.841402969360352,3.082351543903351,18.465891609191896,13.709034576416016,0.18,9.4
2009-05-18,3.815545082092285,25.25483131408691,15.257206916809082,458841600,71730900,46073800,0.034552851835302656,0.06731554539249163,0.018792947769793455,54.39724443027179,58.80270263440576,61.056007574540686,3.7966251969337463,23.435621643066405,14.702102994918823,3.46589439868927,20.375048065185545,13.920207061767577,3.0946763706207276,18.519110660552982,13.720518951416016,0.18,9.4
2009-05-19,3.839646100997925,24.272035598754883,15.137961387634276,372422400,59860600,51368300,0.006316533650396305,-0.038915156593575584,-0.00781568538887889,53.746271491865336,52.64418429165279,53.29140782779863,3.8051962852478027,23.5467809677124,14.756502676010133,3.4926107501983643,20.645331230163574,13.998551979064942,3.1070493936538695,18.56724765777588,13.730075283050537,0.18,9.4
